Time,Step_Number,RF_Btm_Pwr,RF_Rfl_Pwr,Pressure,RF_Tuner,TCP_Tuner,TCP_Top_Pwr,Vat_Valve,batch_id
14.929,4,133,0,1182,9457,20162,354,50,l2902.txm
16.028,4,133,0,1151,9404,19896,355,49,l2902.txm
17.1129,4,134,0,1169,9420,19482,347,48,l2902.txm
18.199,4,132,0,1196,9434,19520,353,48,l2902.txm
19.278,4,135,1,1201,9486,19552,346,48,l2902.txm
20.3579,4,137,0,1179,9414,19544,350,49,l2902.txm
21.3789,4,135,0,1178,9438,19530,347,49,l2902.txm
22.406,4,133,0,1198,9413,19504,349,49,l2902.txm
23.4199,4,133,0,1184,9484,19560,350,49,l2902.txm
24.439,4,132,0,1184,9401,19518,346,49,l2902.txm
25.5389,4,131,0,1185,9415,19540,350,49,l2902.txm
26.559,4,135,0,1185,9445,19548,358,49,l2902.txm
27.579,4,133,0,1184,9415,19348,355,49,l2902.txm
28.599,4,133,0,1187,9438,19350,351,49,l2902.txm
29.619,4,131,0,1186,9404,19400,357,49,l2902.txm
30.708,4,135,0,1184,9470,19344,353,49,l2902.txm
31.729,4,135,0,1187,9442,19354,346,49,l2902.txm
32.7489,4,131,0,1186,9427,19346,340,49,l2902.txm
33.7789,4,133,0,1187,9414,19340,357,49,l2902.txm
34.799,4,134,0,1185,9421,19348,344,49,l2902.txm
35.819,4,133,0,1187,9438,19358,348,49,l2902.txm
36.845,4,134,0,1185,9480,19398,343,49,l2902.txm
37.869,4,131,0,1186,9426,19364,354,49,l2902.txm
38.8889,4,137,0,1187,9432,19358,352,49,l2902.txm
39.911,4,136,0,1185,9448,19334,348,49,l2902.txm
40.929,4,132,0,1187,9451,19312,346,49,l2902.txm
42.059,4,135,0,1185,9465,19326,348,49,l2902.txm
43.101,4,133,0,1186,9417,19348,344,49,l2902.txm
44.179,4,135,0,1185,9436,19296,343,49,l2902.txm
45.209,4,135,0,1186,9422,19308,339,49,l2902.txm
46.229,4,133,0,1185,9402,19318,354,49,l2902.txm
47.2539,4,133,0,1187,9402,19310,347,49,l2902.txm
48.2789,4,131,0,1186,9411,19354,349,49,l2902.txm
49.3099,4,132,0,1187,9377,19302,355,49,l2902.txm
50.412,4,132,0,1185,9416,19320,345,49,l2902.txm
51.528,4,129,0,1185,9380,19340,344,49,l2902.txm
52.5489,4,131,0,1184,9388,19296,342,49,l2902.txm
53.6279,4,133,0,1183,9470,19332,347,49,l2902.txm
54.708,4,131,0,1184,9372,19336,350,49,l2902.txm
55.729,4,134,0,1185,9410,19328,343,49,l2902.txm
56.7489,4,134,0,1186,9444,19324,344,49,l2902.txm
57.7789,4,134,0,1185,9380,19324,344,49,l2902.txm
58.804,4,132,0,1193,9426,19338,349,49,l2902.txm
59.819,4,132,0,1191,9401,19586,343,49,l2902.txm
60.855,4,136,0,1187,9477,19704,348,49,l2902.txm
61.8789,4,132,0,1190,9473,19758,355,50,l2902.txm
62.8989,5,135,0,1220,9412,19856,346,49,l2902.txm
63.9199,5,134,0,1219,9388,19916,352,49,l2902.txm
64.939,5,132,0,1195,9447,19934,346,50,l2902.txm
65.959,5,135,0,1183,9477,19964,345,50,l2902.txm
66.989,5,134,0,1182,9483,19942,354,50,l2902.txm
68.0189,5,132,0,1186,9445,19954,354,50,l2902.txm
69.0389,5,135,0,1189,9461,19948,344,50,l2902.txm
70.059,5,132,0,1183,9440,19968,354,50,l2902.txm
71.095,5,133,0,1182,9395,20032,359,50,l2902.txm
72.1179,5,134,0,1183,9396,20018,355,50,l2902.txm
73.1479,5,132,0,1183,9418,20026,349,50,l2902.txm
74.2279,5,134,0,1182,9401,20048,350,50,l2902.txm
75.2579,5,136,0,1181,9437,20102,358,50,l2902.txm
76.2789,5,132,0,1179,9403,20152,349,50,l2902.txm
77.3259,5,132,0,1182,9484,20210,357,49,l2902.txm
78.3579,5,135,0,1185,9511,20286,342,49,l2902.txm
79.3789,5,134,0,1190,9518,20334,351,49,l2902.txm
80.3989,5,134,0,1194,9563,20314,348,49,l2902.txm
81.4199,5,134,0,1187,9484,20080,358,50,l2902.txm
82.4449,5,133,0,1189,9503,20004,350,50,l2902.txm
83.507,5,132,0,1189,9486,19820,347,50,l2902.txm
84.991,5,133,0,1187,9443,19540,350,50,l2902.txm
85.97,5,134,0,1187,9474,19290,342,50,l2902.txm
86.9989,5,133,0,1185,9384,19336,343,50,l2902.txm
88.0289,5,131,0,1186,9464,19298,354,50,l2902.txm
89.0659,5,132,0,1184,9387,19308,351,50,l2902.txm
90.069,5,134,0,1184,9459,19270,343,50,l2902.txm
91.089,5,132,0,1184,9463,19274,352,50,l2902.txm
92.119,5,134,0,1183,9397,19296,344,50,l2902.txm
93.1389,5,134,0,1185,9430,19292,357,50,l2902.txm
94.163,5,134,0,1184,9479,19346,347,50,l2902.txm
95.179,5,134,0,1185,9377,19270,350,50,l2902.txm
96.199,5,135,0,1184,9422,19284,342,50,l2902.txm
97.219,5,134,0,1185,9416,19358,359,50,l2902.txm
98.239,5,133,0,1187,9390,19260,348,50,l2902.txm
99.266,5,133,0,1185,9415,19328,343,50,l2902.txm
100.299,5,132,0,1184,9469,19316,349,50,l2902.txm
101.319,5,134,0,1185,9398,19338,351,50,l2902.txm
102.459,5,134,0,1185,9479,19342,347,50,l2902.txm
103.489,5,133,0,1184,9465,19240,354,50,l2902.txm
104.604,5,135,0,1182,9422,19300,351,50,l2902.txm
105.629,5,132,0,1185,9401,19276,349,50,l2902.txm
106.649,5,133,0,1185,9423,19256,342,50,l2902.txm
108.542,5,135,0,1184,9423,19330,346,50,l2902.txm
109.539,5,133,0,1183,9421,19258,353,50,l2902.txm
110.563,5,134,0,1184,9431,19328,351,50,l2902.txm
111.579,5,133,0,1185,9467,19296,353,50,l2902.txm
112.599,5,132,0,1183,9420,19302,350,50,l2902.txm
113.619,5,134,0,1185,9391,19330,347,50,l2902.txm
114.649,5,133,0,1183,9465,19254,353,50,l2902.txm
115.669,5,134,0,1185,9384,19324,349,50,l2902.txm
116.689,5,131,0,1185,9458,19286,353,50,l2902.txm
117.709,5,133,0,1183,9431,19328,350,50,l2902.txm
118.729,5,132,0,1184,9465,19320,350,50,l2902.txm
119.755,5,133,0,1184,9371,19246,359,50,l2902.txm
120.779,5,135,0,1184,9398,19322,349,50,l2902.txm
11.538,4,132,0,1224,9475,20020,343,49,l2902.txm
11.538,4,132,0,1224,9475,20020,343,49,l2903.txm
12.863,4,133,0,1225,9465,19938,350,49,l2903.txm
13.847,4,134,0,1218,9415,20032,349,49,l2903.txm
14.866,4,133,0,1198,9486,20126,347,50,l2903.txm
15.886,4,135,0,1174,9427,20196,347,50,l2903.txm
16.972,4,135,0,1148,9471,19302,347,49,l2903.txm
18.056,4,134,0,1188,9492,19526,343,48,l2903.txm
19.126,4,135,0,1198,9416,19532,345,48,l2903.txm
20.226,4,136,0,1209,9437,19536,357,49,l2903.txm
21.3261,4,132,0,1156,9392,19530,340,49,l2903.txm
22.416,4,134,0,1195,9392,19548,344,49,l2903.txm
23.507,4,131,0,1185,9407,19520,345,49,l2903.txm
24.5959,4,135,0,1183,9406,19528,348,49,l2903.txm
25.702,4,132,0,1187,9453,19502,358,49,l2903.txm
26.717,4,133,0,1187,9398,19530,349,49,l2903.txm
27.7371,4,132,0,1187,9408,19332,353,49,l2903.txm
28.757,4,132,0,1185,9444,19354,348,49,l2903.txm
29.777,4,133,0,1184,9394,19352,351,49,l2903.txm
30.847,4,126,0,1186,9404,19366,353,49,l2903.txm
31.8669,4,135,0,1185,9399,19340,349,49,l2903.txm
32.887,4,132,0,1187,9446,19350,345,49,l2903.txm
33.907,4,133,0,1186,9466,19340,346,49,l2903.txm
35.006,4,133,0,1187,9446,19364,348,49,l2903.txm
36.037,4,134,0,1186,9380,19334,345,49,l2903.txm
37.057,4,134,0,1184,9447,19348,358,49,l2903.txm
38.077,4,133,0,1184,9434,19344,349,49,l2903.txm
39.103,4,134,0,1185,9473,19342,350,49,l2903.txm
40.147,4,132,0,1182,9436,19298,345,49,l2903.txm
41.207,4,136,0,1185,9405,19322,352,49,l2903.txm
42.227,4,133,0,1184,9439,19334,356,49,l2903.txm
43.2469,4,133,0,1184,9380,19336,351,49,l2903.txm
44.267,4,135,0,1186,9400,19310,359,49,l2903.txm
45.287,4,130,0,1185,9434,19330,342,49,l2903.txm
46.307,4,134,0,1185,9413,19318,349,49,l2903.txm
47.3361,4,135,0,1185,9441,19316,349,49,l2903.txm
48.3669,4,129,0,1183,9424,19314,345,49,l2903.txm
49.387,4,131,0,1186,9471,19318,342,49,l2903.txm
50.739,4,135,0,1184,9427,19314,343,49,l2903.txm
51.707,4,131,0,1185,9457,19288,353,49,l2903.txm
52.727,4,132,0,1184,9457,19320,349,49,l2903.txm
53.813,4,136,0,1184,9461,19320,361,49,l2903.txm
54.903,4,136,0,1184,9396,19306,346,49,l2903.txm
55.917,4,136,0,1188,9383,19300,349,49,l2903.txm
56.937,4,136,0,1184,9426,19304,342,49,l2903.txm
58.026,4,133,0,1186,9424,19316,344,49,l2903.txm
59.1169,4,134,0,1186,9387,19308,348,49,l2903.txm
60.196,4,136,0,1196,9460,19360,350,49,l2903.txm
61.227,4,132,0,1187,9460,19588,350,49,l2903.txm
62.2469,4,135,0,1187,9479,19720,346,49,l2903.txm
63.282,5,133,0,1204,9405,19810,349,49,l2903.txm
64.298,5,135,0,1221,9443,19868,348,49,l2903.txm
65.317,5,134,0,1201,9441,19900,353,50,l2903.txm
66.347,5,133,0,1178,9418,19890,352,50,l2903.txm
67.3669,5,133,0,1184,9412,19988,353,50,l2903.txm
68.397,5,132,0,1188,9450,19984,356,50,l2903.txm
69.434,5,133,0,1183,9498,19958,348,50,l2903.txm
70.457,5,134,0,1187,9408,19976,349,50,l2903.txm
71.477,5,133,0,1185,9481,19984,350,50,l2903.txm
72.4969,5,134,0,1183,9430,20040,346,50,l2903.txm
73.517,5,132,0,1185,9463,20008,354,50,l2903.txm
74.538,5,134,0,1182,9418,20014,345,50,l2903.txm
75.585,5,134,0,1185,9447,20056,358,50,l2903.txm
76.6071,5,135,0,1180,9402,20142,352,50,l2903.txm
77.627,5,131,0,1180,9477,20126,352,49,l2903.txm
78.657,5,132,0,1182,9525,20268,359,49,l2903.txm
79.687,5,134,0,1185,9447,20296,358,49,l2903.txm
80.707,5,134,0,1191,9458,20308,349,49,l2903.txm
81.734,5,132,0,1191,9558,20086,354,49,l2903.txm
83.401,5,133,0,1186,9510,20052,346,50,l2903.txm
84.3669,5,132,0,1183,9474,19928,343,50,l2903.txm
85.401,5,133,0,1187,9490,19482,360,50,l2903.txm
86.417,5,134,0,1184,9417,19272,350,50,l2903.txm
87.437,5,133,0,1184,9464,19296,346,50,l2903.txm
88.473,5,132,0,1185,9513,19264,341,50,l2903.txm
89.476,5,134,0,1185,9427,19304,342,50,l2903.txm
90.4969,5,132,0,1185,9469,19266,346,50,l2903.txm
91.527,5,131,0,1184,9469,19278,349,50,l2903.txm
92.548,5,134,0,1185,9506,19264,349,50,l2903.txm
93.583,5,131,0,1186,9431,19280,349,50,l2903.txm
94.837,5,135,0,1185,9417,19258,348,50,l2903.txm
95.8669,5,134,0,1186,9495,19264,350,50,l2903.txm
96.887,5,132,0,1184,9464,19292,346,50,l2903.txm
97.917,5,133,0,1185,9505,19270,347,50,l2903.txm
98.942,5,134,0,1184,9412,19264,342,50,l2903.txm
99.957,5,134,0,1185,9452,19274,352,50,l2903.txm
100.977,5,133,0,1185,9418,19274,349,50,l2903.txm
102.007,5,133,0,1182,9412,19236,344,50,l2903.txm
103.027,5,135,0,1184,9494,19290,348,50,l2903.txm
104.062,5,132,0,1184,9497,19274,351,50,l2903.txm
105.077,5,133,0,1185,9488,19270,358,50,l2903.txm
106.097,5,134,0,1186,9506,19274,348,50,l2903.txm
107.851,5,135,0,1185,9426,19272,343,50,l2903.txm
108.838,5,132,0,1184,9480,19278,346,50,l2903.txm
109.857,5,134,0,1184,9420,19282,350,50,l2903.txm
110.877,5,133,0,1184,9462,19248,350,50,l2903.txm
111.897,5,131,0,1185,9472,19242,345,50,l2903.txm
112.937,5,133,0,1184,9424,19232,351,50,l2903.txm
113.957,5,133,0,1186,9440,19254,343,50,l2903.txm
114.992,5,131,0,1186,9450,19258,343,50,l2903.txm
116.027,5,135,0,1185,9420,19244,351,50,l2903.txm
117.047,5,134,0,1184,9450,19254,351,50,l2903.txm
118.067,5,133,0,1184,9486,19264,350,50,l2903.txm
119.087,5,132,0,1184,9504,19260,349,50,l2903.txm
120.107,5,131,0,1184,9474,19276,344,50,l2903.txm
121.145,5,132,0,1185,9494,19282,351,50,l2903.txm
9.84009,4,133,0,1229,9459,19996,349,49,l2903.txm
9.84009,4,133,0,1229,9459,19996,349,49,l2904.txm
10.9299,4,132,0,1231,9468,19992,346,49,l2904.txm
12.249,4,135,0,1228,9395,20004,347,49,l2904.txm
13.2,4,132,0,1198,9394,20140,343,50,l2904.txm
14.22,4,132,0,1179,9414,20194,354,50,l2904.txm
15.24,4,131,0,1153,9447,19356,348,49,l2904.txm
16.3359,4,132,0,1170,9465,19372,347,48,l2904.txm
17.3501,4,134,0,1197,9427,19486,349,48,l2904.txm
18.4509,4,132,0,1205,9409,19560,349,49,l2904.txm
19.5291,4,132,0,1166,9458,19568,351,49,l2904.txm
20.6301,4,134,0,1184,9434,19392,344,49,l2904.txm
21.72,4,135,0,1191,9457,19498,350,49,l2904.txm
22.74,4,134,0,1181,9482,19500,345,49,l2904.txm
23.8291,4,132,0,1188,9416,19472,348,49,l2904.txm
24.9199,4,134,0,1186,9411,19496,342,49,l2904.txm
26.29,4,132,0,1185,9403,19484,355,49,l2904.txm
27.53,4,134,0,1188,9431,19320,356,49,l2904.txm
28.5562,4,137,0,1186,9405,19352,345,49,l2904.txm
29.5801,4,135,0,1187,9400,19322,352,49,l2904.txm
30.6001,4,131,0,1186,9423,19328,352,49,l2904.txm
31.6201,4,135,0,1185,9446,19348,350,49,l2904.txm
32.6411,4,134,0,1185,9394,19308,347,49,l2904.txm
33.6621,4,136,0,1187,9401,19344,354,49,l2904.txm
34.76,4,132,0,1186,9389,19338,348,49,l2904.txm
35.78,4,133,0,1185,9442,19314,350,49,l2904.txm
36.8,4,133,0,1190,9416,19290,342,49,l2904.txm
37.832,4,131,0,1186,9416,19290,349,49,l2904.txm
38.856,4,132,0,1185,9424,19342,346,49,l2904.txm
39.8701,4,133,0,1186,9400,19328,349,49,l2904.txm
40.8901,4,129,0,1186,9426,19292,349,49,l2904.txm
41.9102,4,135,0,1183,9384,19272,356,49,l2904.txm
42.9399,4,134,0,1185,9454,19280,350,49,l2904.txm
43.96,4,135,0,1183,9462,19302,351,49,l2904.txm
44.98,4,136,0,1184,9484,19274,354,49,l2904.txm
46,4,130,0,1184,9458,19328,350,49,l2904.txm
47.02,4,136,0,1184,9370,19318,356,49,l2904.txm
48.04,4,131,0,1185,9453,19338,347,49,l2904.txm
49.2981,4,131,0,1185,9464,19344,349,49,l2904.txm
50.446,4,135,0,1184,9421,19314,352,49,l2904.txm
51.459,4,134,0,1184,9439,19288,346,49,l2904.txm
52.5391,4,133,0,1182,9470,19298,358,49,l2904.txm
53.6291,4,130,0,1184,9403,19290,353,49,l2904.txm
54.719,4,132,0,1182,9409,19316,343,49,l2904.txm
55.8091,4,132,0,1187,9481,19296,347,49,l2904.txm
56.8989,4,132,0,1193,9444,19322,350,49,l2904.txm
57.9199,4,135,0,1192,9422,19588,360,49,l2904.txm
58.9399,4,132,0,1187,9442,19816,352,49,l2904.txm
59.959,4,134,0,1191,9383,19766,347,50,l2904.txm
60.98,5,135,0,1203,9424,19902,348,49,l2904.txm
61.999,5,135,0,1222,9396,19906,349,49,l2904.txm
63.02,5,132,0,1198,9405,19930,349,50,l2904.txm
64.0391,5,132,0,1178,9498,19942,346,50,l2904.txm
65.0601,5,134,0,1189,9497,19954,349,50,l2904.txm
66.0891,5,132,0,1189,9439,19998,351,50,l2904.txm
67.1191,5,134,0,1184,9482,20002,352,50,l2904.txm
68.2781,5,133,0,1184,9491,20000,344,50,l2904.txm
69.269,5,134,0,1183,9493,20058,352,50,l2904.txm
70.3,5,134,0,1186,9449,20006,354,50,l2904.txm
71.3301,5,132,0,1182,9418,20002,348,50,l2904.txm
72.3591,5,131,0,1184,9402,19996,353,50,l2904.txm
73.3801,5,132,0,1180,9471,20094,344,50,l2904.txm
74.4089,5,134,0,1179,9420,20190,348,49,l2904.txm
75.4299,5,131,0,1181,9480,20262,359,49,l2904.txm
76.449,5,135,0,1182,9489,20322,348,49,l2904.txm
77.47,5,134,0,1191,9528,20306,353,49,l2904.txm
78.499,5,134,0,1190,9527,20084,359,49,l2904.txm
79.52,5,134,0,1189,9522,20032,351,50,l2904.txm
80.54,5,132,0,1186,9399,19840,356,50,l2904.txm
81.5691,5,131,0,1185,9411,19676,345,50,l2904.txm
82.5991,5,131,0,1186,9468,19316,356,50,l2904.txm
84.2551,5,134,0,1186,9507,19266,342,50,l2904.txm
85.241,5,135,0,1185,9444,19280,349,50,l2904.txm
86.2651,5,132,0,1184,9460,19280,349,50,l2904.txm
87.8101,5,131,0,1185,9413,19288,354,50,l2904.txm
88.8301,5,132,0,1182,9390,19290,355,50,l2904.txm
89.8501,5,131,0,1184,9412,19248,343,50,l2904.txm
90.8879,5,132,0,1187,9404,19286,352,50,l2904.txm
91.9102,5,131,0,1184,9407,19238,344,50,l2904.txm
92.9299,5,132,0,1183,9442,19258,348,50,l2904.txm
93.9499,5,131,0,1185,9409,19238,355,50,l2904.txm
94.98,5,135,0,1184,9391,19236,351,50,l2904.txm
96,5,131,0,1184,9457,19282,350,50,l2904.txm
97.03,5,134,0,1183,9404,19242,349,50,l2904.txm
98.051,5,133,0,1186,9393,19276,352,50,l2904.txm
99.1001,5,131,0,1184,9456,19286,355,50,l2904.txm
100.13,5,132,0,1185,9466,19250,351,50,l2904.txm
101.15,5,134,0,1185,9491,19262,351,50,l2904.txm
102.17,5,135,0,1187,9431,19210,349,50,l2904.txm
103.2,5,133,0,1188,9474,19228,350,50,l2904.txm
104.23,5,135,0,1186,9470,19246,348,50,l2904.txm
105.261,5,134,0,1187,9425,19262,355,50,l2904.txm
106.287,5,132,0,1188,9400,19274,348,50,l2904.txm
108.263,5,134,0,1185,9456,19226,352,50,l2904.txm
109.251,5,132,0,1186,9494,19234,348,50,l2904.txm
110.27,5,133,0,1185,9470,19268,353,50,l2904.txm
111.29,5,133,0,1186,9490,19274,356,50,l2904.txm
112.316,5,135,0,1185,9451,19262,354,50,l2904.txm
113.33,5,133,0,1186,9399,19230,349,50,l2904.txm
114.35,5,133,0,1184,9408,19262,341,50,l2904.txm
115.37,5,133,0,1185,9399,19278,355,50,l2904.txm
116.4,5,134,0,1185,9466,19238,360,50,l2904.txm
117.42,5,133,0,1184,9397,19224,361,50,l2904.txm
118.46,5,132,0,1184,9491,19290,342,50,l2904.txm
11.01,4,135,0,1234,9388,19992,347,49,l2904.txm
11.01,4,135,0,1234,9388,19992,347,49,l2905.txm
12.03,4,135,0,1233,9458,20000,349,49,l2905.txm
13.2051,4,131,0,1233,9405,20038,343,49,l2905.txm
14.1902,4,134,0,1201,9418,20122,350,50,l2905.txm
15.27,4,132,0,1182,9404,20174,357,50,l2905.txm
16.3601,4,133,0,1146,9466,19630,346,49,l2905.txm
17.4292,4,134,0,1177,9439,19560,347,48,l2905.txm
18.5,4,135,0,1200,9413,19498,346,48,l2905.txm
19.7102,4,133,0,1207,9459,19520,350,49,l2905.txm
20.8,4,134,0,1158,9417,19482,342,49,l2905.txm
21.8201,4,133,0,1192,9409,19518,346,49,l2905.txm
22.8401,4,132,0,1192,9463,19460,342,49,l2905.txm
23.9202,4,134,0,1182,9445,19518,344,49,l2905.txm
24.9402,4,133,0,1186,9421,19474,349,49,l2905.txm
25.9602,4,131,0,1187,9481,19502,359,49,l2905.txm
26.9861,4,136,0,1186,9456,19284,348,49,l2905.txm
28,4,133,0,1186,9486,19350,349,49,l2905.txm
29.03,4,133,0,1186,9424,19376,354,49,l2905.txm
30.0991,4,133,0,1185,9421,19362,348,49,l2905.txm
31.1301,4,135,0,1185,9399,19350,348,49,l2905.txm
32.1501,4,132,0,1187,9457,19306,356,49,l2905.txm
33.1702,4,134,0,1183,9459,19358,355,49,l2905.txm
34.26,4,134,0,1186,9466,19310,348,49,l2905.txm
35.3501,4,131,0,1187,9407,19358,345,49,l2905.txm
36.3701,4,134,0,1188,9488,19296,348,49,l2905.txm
37.4641,4,134,0,1185,9406,19308,354,49,l2905.txm
38.4851,4,135,0,1188,9482,19300,355,49,l2905.txm
