date,hour,total
3/4 (2011),7 AM,83
3/4 (2011),8 AM,228
3/4 (2011),9 AM,150
3/4 (2011),10 AM,66
3/4 (2011),11 AM,89
3/4 (2011),12 PM,97
3/4 (2011),1 PM,87
3/4 (2011),2 PM,95
3/4 (2011),3 PM,106
3/4 (2011),4 PM,118
3/4 (2011),5 PM,228
3/4 (2011),6 PM,187
3/4 (2011),7 PM,107
3/4 (2011),8 PM,87
3/4 (2011),9 PM,70
3/4 (2011),10 PM,44
3/4 (2011),11 PM,46
3/5 (2011),12 AM,19
3/5 (2011),1 AM,25
3/5 (2011),2 AM,20
3/5 (2011),3 AM,2
3/5 (2011),4 AM,1
3/5 (2011),5 AM,3
3/5 (2011),6 AM,4
3/5 (2011),7 AM,15
3/5 (2011),8 AM,45
3/5 (2011),9 AM,63
3/5 (2011),10 AM,103
3/5 (2011),11 AM,159
3/5 (2011),12 PM,167
3/5 (2011),1 PM,190
3/5 (2011),2 PM,198
3/5 (2011),3 PM,205
3/5 (2011),4 PM,204
3/5 (2011),5 PM,164
3/5 (2011),6 PM,152
3/5 (2011),7 PM,89
3/5 (2011),8 PM,70
3/5 (2011),9 PM,72
3/5 (2011),10 PM,63
3/5 (2011),11 PM,44
3/6 (2011),12 AM,52
3/6 (2011),1 AM,39
3/6 (2011),2 AM,32
3/6 (2011),3 AM,11
3/6 (2011),4 AM,3
3/6 (2011),6 AM,2
3/6 (2011),7 AM,5
3/6 (2011),8 AM,9
3/6 (2011),9 AM,22
3/6 (2011),10 AM,31
3/6 (2011),11 AM,62
3/6 (2011),12 PM,79
3/6 (2011),1 PM,105
3/6 (2011),2 PM,39
3/6 (2011),3 PM,7
3/6 (2011),4 PM,11
3/6 (2011),5 PM,25
3/6 (2011),6 PM,23
3/6 (2011),7 PM,11
3/6 (2011),8 PM,11
3/6 (2011),9 PM,7
3/6 (2011),10 PM,10
3/6 (2011),11 PM,9
3/7 (2011),12 AM,4
3/7 (2011),1 AM,2
3/7 (2011),3 AM,1
3/7 (2011),4 AM,1
3/7 (2011),5 AM,1
3/7 (2011),6 AM,34
3/7 (2011),7 AM,91
3/7 (2011),8 AM,211
3/7 (2011),9 AM,134
3/7 (2011),10 AM,58
3/7 (2011),11 AM,60
3/7 (2011),12 PM,96
3/7 (2011),1 PM,70
3/7 (2011),2 PM,77
3/7 (2011),3 PM,96
3/7 (2011),4 PM,122
3/7 (2011),5 PM,233
3/7 (2011),6 PM,233
3/7 (2011),7 PM,145
3/7 (2011),8 PM,92
3/7 (2011),9 PM,54
3/7 (2011),10 PM,35
3/7 (2011),11 PM,22
3/8 (2011),12 AM,10
3/8 (2011),1 AM,4
3/8 (2011),2 AM,1
3/8 (2011),3 AM,7
3/8 (2011),4 AM,2
3/8 (2011),5 AM,10
3/8 (2011),6 AM,45
3/8 (2011),7 AM,128
3/8 (2011),8 AM,257
3/8 (2011),9 AM,151
3/8 (2011),10 AM,71
3/8 (2011),11 AM,78
3/8 (2011),12 PM,99
3/8 (2011),1 PM,98
3/8 (2011),2 PM,72
3/8 (2011),3 PM,112
3/8 (2011),4 PM,108
3/8 (2011),5 PM,248
3/8 (2011),6 PM,235
3/8 (2011),7 PM,150
3/8 (2011),8 PM,76
3/8 (2011),9 PM,75
3/8 (2011),10 PM,55
3/8 (2011),11 PM,41
3/9 (2011),12 AM,9
3/9 (2011),1 AM,4
3/9 (2011),2 AM,2
3/9 (2011),3 AM,3
3/9 (2011),4 AM,2
3/9 (2011),5 AM,8
3/9 (2011),6 AM,49
3/9 (2011),7 AM,141
3/9 (2011),8 AM,249
3/9 (2011),9 AM,141
3/9 (2011),10 AM,57
3/9 (2011),11 AM,59
3/9 (2011),12 PM,98
3/9 (2011),1 PM,99
3/9 (2011),2 PM,71
3/9 (2011),3 PM,79
3/9 (2011),4 PM,112
3/9 (2011),5 PM,194
3/9 (2011),6 PM,188
3/9 (2011),7 PM,134
3/9 (2011),8 PM,91
3/9 (2011),9 PM,62
3/9 (2011),10 PM,21
3/9 (2011),11 PM,18
3/10 (2011),12 AM,3
3/10 (2011),1 AM,2
3/10 (2011),2 AM,1
3/10 (2011),5 AM,3
3/10 (2011),6 AM,12
3/10 (2011),7 AM,37
3/10 (2011),8 AM,44
3/10 (2011),9 AM,24
3/10 (2011),10 AM,17
3/10 (2011),11 AM,11
3/10 (2011),12 PM,34
3/10 (2011),1 PM,12
3/10 (2011),2 PM,12
3/10 (2011),3 PM,14
3/10 (2011),4 PM,21
3/10 (2011),5 PM,111
3/10 (2011),6 PM,82
3/10 (2011),7 PM,56
3/10 (2011),8 PM,38
3/10 (2011),9 PM,28
3/10 (2011),10 PM,34
3/10 (2011),11 PM,27
3/11 (2011),12 AM,6
3/11 (2011),1 AM,8
3/11 (2011),2 AM,5
3/11 (2011),3 AM,2
3/11 (2011),5 AM,7
3/11 (2011),6 AM,32
3/11 (2011),7 AM,114
3/11 (2011),8 AM,259
3/11 (2011),9 AM,156
3/11 (2011),10 AM,78
3/11 (2011),11 AM,81
3/11 (2011),12 PM,111
3/11 (2011),1 PM,107
3/11 (2011),2 PM,89
3/11 (2011),3 PM,85
3/11 (2011),4 PM,113
3/11 (2011),5 PM,223
3/11 (2011),6 PM,153
3/11 (2011),7 PM,118
3/11 (2011),8 PM,76
3/11 (2011),9 PM,53
3/11 (2011),10 PM,64
3/11 (2011),11 PM,37
3/12 (2011),12 AM,34
3/12 (2011),1 AM,18
3/12 (2011),2 AM,14
3/12 (2011),3 AM,7
3/12 (2011),4 AM,1
3/12 (2011),5 AM,2
3/12 (2011),6 AM,4
3/12 (2011),7 AM,23
3/12 (2011),8 AM,53
3/12 (2011),9 AM,101
3/12 (2011),10 AM,99
3/12 (2011),11 AM,119
3/12 (2011),12 PM,158
3/12 (2011),1 PM,157
3/12 (2011),2 PM,166
3/12 (2011),3 PM,182
3/12 (2011),4 PM,244
3/12 (2011),5 PM,213
3/12 (2011),6 PM,145
3/12 (2011),7 PM,112
3/12 (2011),8 PM,86
3/12 (2011),9 PM,82
3/12 (2011),10 PM,63
3/12 (2011),11 PM,49
3/13 (2011),12 AM,38
3/13 (2011),1 AM,33
3/13 (2011),3 AM,23
3/13 (2011),4 AM,13
3/13 (2011),5 AM,3
3/13 (2011),6 AM,2
3/13 (2011),7 AM,10
3/13 (2011),8 AM,34
3/13 (2011),9 AM,44
3/13 (2011),10 AM,122
3/13 (2011),11 AM,181
3/13 (2011),12 PM,194
3/13 (2011),1 PM,221
3/13 (2011),2 PM,250
3/13 (2011),3 PM,304
3/13 (2011),4 PM,256
3/13 (2011),5 PM,241
3/13 (2011),6 PM,147
3/13 (2011),7 PM,101
3/13 (2011),8 PM,77
3/13 (2011),9 PM,58
3/13 (2011),10 PM,37
3/13 (2011),11 PM,28
3/14 (2011),12 AM,11
3/14 (2011),1 AM,1
3/14 (2011),2 AM,1
3/14 (2011),3 AM,3
3/14 (2011),5 AM,8
3/14 (2011),6 AM,28
3/14 (2011),7 AM,88
3/14 (2011),8 AM,241
3/14 (2011),9 AM,140
3/14 (2011),10 AM,84
3/14 (2011),11 AM,71
3/14 (2011),12 PM,94
3/14 (2011),1 PM,75
3/14 (2011),2 PM,79
3/14 (2011),3 PM,101
3/14 (2011),4 PM,107
3/14 (2011),5 PM,271
3/14 (2011),6 PM,235
3/14 (2011),7 PM,150
3/14 (2011),8 PM,129
3/14 (2011),9 PM,63
3/14 (2011),10 PM,47
3/14 (2011),11 PM,19
3/15 (2011),12 AM,14
3/15 (2011),1 AM,10
3/15 (2011),2 AM,3
3/15 (2011),4 AM,2
3/15 (2011),5 AM,11
3/15 (2011),6 AM,35
3/15 (2011),7 AM,119
3/15 (2011),8 AM,282
3/15 (2011),9 AM,157
3/15 (2011),10 AM,78
3/15 (2011),11 AM,78
3/15 (2011),12 PM,102
3/15 (2011),1 PM,97
3/15 (2011),2 PM,88
3/15 (2011),3 PM,90
3/15 (2011),4 PM,114
3/15 (2011),5 PM,217
3/15 (2011),6 PM,225
3/15 (2011),7 PM,152
3/15 (2011),8 PM,88
3/15 (2011),9 PM,55
3/15 (2011),10 PM,21
3/15 (2011),11 PM,18
3/16 (2011),12 AM,8
3/16 (2011),1 AM,3
3/16 (2011),3 AM,3
3/16 (2011),4 AM,1
3/16 (2011),5 AM,3
3/16 (2011),6 AM,31
3/16 (2011),7 AM,111
3/16 (2011),8 AM,253
3/16 (2011),9 AM,154
3/16 (2011),10 AM,68
3/16 (2011),11 AM,75
3/16 (2011),12 PM,88
3/16 (2011),1 PM,99
3/16 (2011),2 PM,100
3/16 (2011),3 PM,101
3/16 (2011),4 PM,151
3/16 (2011),5 PM,253
3/16 (2011),6 PM,237
3/16 (2011),7 PM,168
3/16 (2011),8 PM,121
3/16 (2011),9 PM,78
3/16 (2011),10 PM,59
3/16 (2011),11 PM,27
3/17 (2011),12 AM,23
3/17 (2011),1 AM,12
3/17 (2011),2 AM,8
3/17 (2011),3 AM,2
3/17 (2011),4 AM,3
3/17 (2011),5 AM,13
3/17 (2011),6 AM,51
3/17 (2011),7 AM,140
3/17 (2011),8 AM,299
3/17 (2011),9 AM,185
3/17 (2011),10 AM,78
3/17 (2011),11 AM,86
3/17 (2011),12 PM,105
3/17 (2011),1 PM,111
3/17 (2011),2 PM,119
3/17 (2011),3 PM,125
3/17 (2011),4 PM,142
3/17 (2011),5 PM,313
3/17 (2011),6 PM,310
3/17 (2011),7 PM,207
3/17 (2011),8 PM,137
3/17 (2011),9 PM,138
3/17 (2011),10 PM,87
3/17 (2011),11 PM,50
3/18 (2011),12 AM,29
3/18 (2011),1 AM,16
3/18 (2011),2 AM,14
3/18 (2011),3 AM,5
3/18 (2011),5 AM,10
3/18 (2011),6 AM,36
3/18 (2011),7 AM,123
3/18 (2011),8 AM,280
3/18 (2011),9 AM,210
3/18 (2011),10 AM,117
3/18 (2011),11 AM,159
3/18 (2011),12 PM,195
3/18 (2011),1 PM,175
3/18 (2011),2 PM,174
3/18 (2011),3 PM,173
3/18 (2011),4 PM,204
3/18 (2011),5 PM,332
3/18 (2011),6 PM,331
3/18 (2011),7 PM,190
3/18 (2011),8 PM,149
3/18 (2011),9 PM,113
3/18 (2011),10 PM,118
3/18 (2011),11 PM,86
3/19 (2011),12 AM,76
3/19 (2011),1 AM,51
3/19 (2011),2 AM,25
3/19 (2011),3 AM,8
3/19 (2011),4 AM,3
3/19 (2011),5 AM,2
3/19 (2011),6 AM,10
3/19 (2011),7 AM,13
3/19 (2011),8 AM,48
3/19 (2011),9 AM,76
3/19 (2011),10 AM,140
3/19 (2011),11 AM,196
3/19 (2011),12 PM,267
3/19 (2011),1 PM,301
3/19 (2011),2 PM,312
3/19 (2011),3 PM,313
3/19 (2011),4 PM,304
3/19 (2011),5 PM,278
3/19 (2011),6 PM,217
3/19 (2011),7 PM,154
3/19 (2011),8 PM,108
3/19 (2011),9 PM,93
3/19 (2011),10 PM,72
3/19 (2011),11 PM,50
3/20 (2011),12 AM,40
3/20 (2011),1 AM,24
3/20 (2011),2 AM,30
3/20 (2011),3 AM,12
3/20 (2011),4 AM,3
3/20 (2011),5 AM,9
3/20 (2011),6 AM,4
3/20 (2011),7 AM,14
3/20 (2011),8 AM,37
3/20 (2011),9 AM,78
3/20 (2011),10 AM,136
3/20 (2011),11 AM,203
3/20 (2011),12 PM,228
3/20 (2011),1 PM,203
3/20 (2011),2 PM,279
3/20 (2011),3 PM,308
3/20 (2011),4 PM,224
3/20 (2011),5 PM,226
3/20 (2011),6 PM,156
3/20 (2011),7 PM,79
3/20 (2011),8 PM,67
3/20 (2011),9 PM,49
3/20 (2011),10 PM,38
3/20 (2011),11 PM,24
3/21 (2011),12 AM,13
3/21 (2011),1 AM,7
3/21 (2011),2 AM,6
3/21 (2011),3 AM,1
3/21 (2011),5 AM,2
3/21 (2011),6 AM,32
3/21 (2011),7 AM,18
3/21 (2011),8 AM,98
3/21 (2011),9 AM,127
3/21 (2011),10 AM,62
3/21 (2011),11 AM,79
3/21 (2011),12 PM,81
3/21 (2011),1 PM,112
3/21 (2011),2 PM,101
3/21 (2011),3 PM,107
3/21 (2011),4 PM,141
3/21 (2011),5 PM,272
3/21 (2011),6 PM,276
3/21 (2011),7 PM,221
3/21 (2011),8 PM,122
3/21 (2011),9 PM,91
3/21 (2011),10 PM,78
3/21 (2011),11 PM,30
3/22 (2011),12 AM,11
3/22 (2011),1 AM,19
3/22 (2011),2 AM,1
3/22 (2011),3 AM,5
3/22 (2011),4 AM,1
3/22 (2011),5 AM,12
3/22 (2011),6 AM,60
3/22 (2011),7 AM,136
3/22 (2011),8 AM,336
3/22 (2011),9 AM,178
3/22 (2011),10 AM,124
3/22 (2011),11 AM,86
3/22 (2011),12 PM,121
3/22 (2011),1 PM,106
3/22 (2011),2 PM,101
3/22 (2011),3 PM,134
3/22 (2011),4 PM,165
3/22 (2011),5 PM,307
3/22 (2011),6 PM,312
3/22 (2011),7 PM,164
3/22 (2011),8 PM,135
3/22 (2011),9 PM,87
3/22 (2011),10 PM,70
3/22 (2011),11 PM,32
3/23 (2011),12 AM,11
3/23 (2011),1 AM,7
3/23 (2011),2 AM,2
3/23 (2011),3 AM,3
3/23 (2011),5 AM,10
3/23 (2011),6 AM,44
3/23 (2011),7 AM,118
3/23 (2011),8 AM,261
3/23 (2011),9 AM,182
3/23 (2011),10 AM,75
3/23 (2011),11 AM,71
3/23 (2011),12 PM,87
3/23 (2011),1 PM,108
3/23 (2011),2 PM,84
3/23 (2011),3 PM,85
3/23 (2011),4 PM,136
3/23 (2011),5 PM,273
3/23 (2011),6 PM,238
3/23 (2011),7 PM,159
3/23 (2011),8 PM,75
3/23 (2011),9 PM,22
3/23 (2011),10 PM,44
3/23 (2011),11 PM,26
3/24 (2011),12 AM,11
3/24 (2011),1 AM,3
3/24 (2011),2 AM,6
3/24 (2011),3 AM,1
3/24 (2011),4 AM,1
3/24 (2011),5 AM,9
3/24 (2011),6 AM,41
3/24 (2011),7 AM,108
3/24 (2011),8 AM,124
3/24 (2011),9 AM,97
3/24 (2011),10 AM,65
3/24 (2011),11 AM,71
3/24 (2011),12 PM,94
3/24 (2011),1 PM,101
3/24 (2011),2 PM,83
3/24 (2011),3 PM,90
3/24 (2011),4 PM,84
3/24 (2011),5 PM,233
3/24 (2011),6 PM,214
3/24 (2011),7 PM,138
3/24 (2011),8 PM,118
3/24 (2011),9 PM,78
3/24 (2011),10 PM,62
3/24 (2011),11 PM,33
3/25 (2011),12 AM,18
3/25 (2011),1 AM,5
3/25 (2011),2 AM,5
3/25 (2011),3 AM,2
3/25 (2011),4 AM,5
3/25 (2011),5 AM,9
3/25 (2011),6 AM,32
3/25 (2011),7 AM,104
3/25 (2011),8 AM,237
3/25 (2011),9 AM,166
3/25 (2011),10 AM,68
3/25 (2011),11 AM,75
3/25 (2011),12 PM,145
3/25 (2011),1 PM,138
3/25 (2011),2 PM,133
3/25 (2011),3 PM,122
3/25 (2011),4 PM,150
3/25 (2011),5 PM,225
3/25 (2011),6 PM,198
3/25 (2011),7 PM,135
3/25 (2011),8 PM,81
3/25 (2011),9 PM,75
3/25 (2011),10 PM,43
3/25 (2011),11 PM,39
3/26 (2011),12 AM,28
3/26 (2011),1 AM,27
3/26 (2011),2 AM,25
3/26 (2011),3 AM,9
3/26 (2011),4 AM,6
3/26 (2011),5 AM,8
3/26 (2011),6 AM,10
3/26 (2011),7 AM,41
3/26 (2011),8 AM,66
3/26 (2011),9 AM,100
3/26 (2011),10 AM,125
3/26 (2011),11 AM,168
3/26 (2011),12 PM,227
3/26 (2011),1 PM,239
3/26 (2011),2 PM,216
3/26 (2011),3 PM,219
3/26 (2011),4 PM,248
3/26 (2011),5 PM,203
3/26 (2011),6 PM,153
3/26 (2011),7 PM,138
3/26 (2011),8 PM,85
3/26 (2011),9 PM,51
3/26 (2011),10 PM,63
3/26 (2011),11 PM,41
3/27 (2011),12 AM,31
3/27 (2011),1 AM,20
3/27 (2011),2 AM,21
3/27 (2011),3 AM,14
3/27 (2011),4 AM,6
3/27 (2011),6 AM,2
3/27 (2011),7 AM,7
3/27 (2011),8 AM,14
3/27 (2011),9 AM,54
3/27 (2011),10 AM,86
3/27 (2011),11 AM,108
3/27 (2011),12 PM,163
3/27 (2011),1 PM,147
3/27 (2011),2 PM,164
3/27 (2011),3 PM,172
3/27 (2011),4 PM,143
3/27 (2011),5 PM,159
3/27 (2011),6 PM,137
3/27 (2011),7 PM,103
3/27 (2011),8 PM,57
3/27 (2011),9 PM,36
3/27 (2011),10 PM,30
3/27 (2011),11 PM,19
3/28 (2011),12 AM,12
3/28 (2011),1 AM,6
3/28 (2011),2 AM,5
3/28 (2011),3 AM,2
3/28 (2011),5 AM,8
3/28 (2011),6 AM,40
3/28 (2011),7 AM,110
3/28 (2011),8 AM,254
3/28 (2011),9 AM,121
3/28 (2011),10 AM,69
3/28 (2011),11 AM,57
3/28 (2011),12 PM,79
3/28 (2011),1 PM,83
3/28 (2011),2 PM,80
3/28 (2011),3 PM,72
3/28 (2011),4 PM,132
3/28 (2011),5 PM,252
3/28 (2011),6 PM,241
3/28 (2011),7 PM,173
3/28 (2011),8 PM,112
3/28 (2011),9 PM,61
3/28 (2011),10 PM,40
3/28 (2011),11 PM,19
3/29 (2011),12 AM,16
3/29 (2011),1 AM,4
3/29 (2011),2 AM,3
3/29 (2011),3 AM,3
3/29 (2011),4 AM,2
3/29 (2011),5 AM,8
3/29 (2011),6 AM,50
3/29 (2011),7 AM,133
3/29 (2011),8 AM,287
3/29 (2011),9 AM,172
3/29 (2011),10 AM,59
3/29 (2011),11 AM,81
3/29 (2011),12 PM,106
3/29 (2011),1 PM,104
3/29 (2011),2 PM,86
3/29 (2011),3 PM,87
3/29 (2011),4 PM,136
3/29 (2011),5 PM,299
3/29 (2011),6 PM,294
3/29 (2011),7 PM,190
3/29 (2011),8 PM,132
3/29 (2011),9 PM,83
3/29 (2011),10 PM,55
3/29 (2011),11 PM,35
3/30 (2011),12 AM,11
3/30 (2011),1 AM,10
3/30 (2011),2 AM,4
3/30 (2011),3 AM,4
3/30 (2011),4 AM,1
3/30 (2011),5 AM,7
3/30 (2011),6 AM,48
3/30 (2011),7 AM,136
3/30 (2011),8 AM,263
3/30 (2011),9 AM,154
3/30 (2011),10 AM,64
3/30 (2011),11 AM,90
3/30 (2011),12 PM,80
3/30 (2011),1 PM,98
3/30 (2011),2 PM,80
3/30 (2011),3 PM,70
3/30 (2011),4 PM,36
3/30 (2011),5 PM,116
3/30 (2011),6 PM,85
3/30 (2011),7 PM,72
3/30 (2011),8 PM,44
3/30 (2011),9 PM,27
3/30 (2011),10 PM,24
3/30 (2011),11 PM,12
3/31 (2011),12 AM,3
3/31 (2011),1 AM,5
3/31 (2011),2 AM,5
3/31 (2011),3 AM,1
3/31 (2011),4 AM,2
3/31 (2011),5 AM,8
3/31 (2011),6 AM,36
3/31 (2011),7 AM,92
3/31 (2011),8 AM,192
3/31 (2011),9 AM,132
3/31 (2011),10 AM,69
3/31 (2011),11 AM,58
3/31 (2011),12 PM,90
3/31 (2011),1 PM,68
3/31 (2011),2 PM,76
3/31 (2011),3 PM,65
3/31 (2011),4 PM,85
3/31 (2011),5 PM,168
3/31 (2011),6 PM,177
3/31 (2011),7 PM,130
3/31 (2011),8 PM,85
3/31 (2011),9 PM,60
3/31 (2011),10 PM,51
3/31 (2011),11 PM,27
4/1 (2011),12 AM,6
4/1 (2011),1 AM,4
4/1 (2011),2 AM,7
4/1 (2011),3 AM,4
4/1 (2011),4 AM,3
4/1 (2011),5 AM,12
4/1 (2011),6 AM,28
4/1 (2011),7 AM,95
4/1 (2011),8 AM,206
4/1 (2011),9 AM,173
4/1 (2011),10 AM,75
4/1 (2011),11 AM,89
4/1 (2011),12 PM,95
4/1 (2011),1 PM,110
4/1 (2011),2 PM,87
4/1 (2011),3 PM,111
4/1 (2011),4 PM,167
4/1 (2011),5 PM,281
4/1 (2011),6 PM,241
4/1 (2011),7 PM,136
4/1 (2011),8 PM,77
4/1 (2011),9 PM,93
4/1 (2011),10 PM,74
4/1 (2011),11 PM,53
4/2 (2011),12 AM,32
4/2 (2011),1 AM,32
4/2 (2011),2 AM,21
4/2 (2011),3 AM,9
4/2 (2011),4 AM,5
4/2 (2011),5 AM,5
4/2 (2011),6 AM,12
4/2 (2011),7 AM,18
4/2 (2011),8 AM,55
4/2 (2011),9 AM,87
4/2 (2011),10 AM,154
4/2 (2011),11 AM,198
4/2 (2011),12 PM,184
4/2 (2011),1 PM,137
4/2 (2011),2 PM,190
4/2 (2011),3 PM,136
4/2 (2011),4 PM,196
4/2 (2011),5 PM,184
4/2 (2011),6 PM,179
4/2 (2011),7 PM,148
4/2 (2011),8 PM,85
4/2 (2011),9 PM,77
4/2 (2011),10 PM,55
4/2 (2011),11 PM,53
4/3 (2011),12 AM,39
4/3 (2011),1 AM,34
4/3 (2011),2 AM,24
4/3 (2011),3 AM,11
4/3 (2011),4 AM,3
4/3 (2011),5 AM,5
4/3 (2011),6 AM,33
4/3 (2011),7 AM,33
4/3 (2011),8 AM,62
4/3 (2011),9 AM,142
4/3 (2011),10 AM,215
4/3 (2011),11 AM,243
4/3 (2011),12 PM,313
4/3 (2011),1 PM,367
4/3 (2011),2 PM,349
4/3 (2011),3 PM,292
4/3 (2011),4 PM,303
4/3 (2011),5 PM,274
4/3 (2011),6 PM,172
4/3 (2011),7 PM,144
4/3 (2011),8 PM,79
4/3 (2011),9 PM,45
4/3 (2011),10 PM,36
4/3 (2011),11 PM,31
4/4 (2011),12 AM,6
4/4 (2011),1 AM,11
4/4 (2011),2 AM,2
4/4 (2011),3 AM,1
4/4 (2011),4 AM,2
4/4 (2011),5 AM,7
4/4 (2011),6 AM,46
4/4 (2011),7 AM,157
4/4 (2011),8 AM,339
4/4 (2011),9 AM,158
4/4 (2011),10 AM,90
4/4 (2011),11 AM,124
4/4 (2011),12 PM,157
4/4 (2011),1 PM,139
4/4 (2011),2 PM,123
4/4 (2011),3 PM,143
4/4 (2011),4 PM,189
4/4 (2011),5 PM,366
4/4 (2011),6 PM,386
4/4 (2011),7 PM,278
4/4 (2011),8 PM,173
4/4 (2011),9 PM,95
4/4 (2011),10 PM,75
4/4 (2011),11 PM,48
4/5 (2011),12 AM,22
4/5 (2011),1 AM,15
4/5 (2011),2 AM,5
4/5 (2011),3 AM,4
4/5 (2011),4 AM,2
4/5 (2011),5 AM,5
4/5 (2011),6 AM,38
4/5 (2011),7 AM,134
4/5 (2011),8 AM,157
4/5 (2011),9 AM,46
4/5 (2011),10 AM,28
4/5 (2011),11 AM,19
4/5 (2011),12 PM,38
4/5 (2011),1 PM,56
4/5 (2011),2 PM,76
4/5 (2011),3 PM,68
4/5 (2011),4 PM,130
4/5 (2011),5 PM,273
4/5 (2011),6 PM,267
4/5 (2011),7 PM,160
4/5 (2011),8 PM,91
4/5 (2011),9 PM,89
4/5 (2011),10 PM,46
4/5 (2011),11 PM,26
4/6 (2011),12 AM,15
4/6 (2011),1 AM,2
4/6 (2011),2 AM,5
4/6 (2011),3 AM,4
4/6 (2011),4 AM,1
4/6 (2011),5 AM,13
4/6 (2011),6 AM,56
4/6 (2011),7 AM,133
4/6 (2011),8 AM,325
4/6 (2011),9 AM,165
4/6 (2011),10 AM,69
4/6 (2011),11 AM,93
4/6 (2011),12 PM,134
4/6 (2011),1 PM,112
4/6 (2011),2 PM,115
4/6 (2011),3 PM,117
4/6 (2011),4 PM,169
4/6 (2011),5 PM,356
4/6 (2011),6 PM,325
4/6 (2011),7 PM,232
4/6 (2011),8 PM,141
4/6 (2011),9 PM,102
4/6 (2011),10 PM,84
4/6 (2011),11 PM,40
4/7 (2011),12 AM,20
4/7 (2011),1 AM,13
4/7 (2011),2 AM,7
4/7 (2011),3 AM,3
4/7 (2011),4 AM,1
4/7 (2011),5 AM,6
4/7 (2011),6 AM,64
4/7 (2011),7 AM,160
4/7 (2011),8 AM,314
4/7 (2011),9 AM,170
4/7 (2011),10 AM,95
4/7 (2011),11 AM,122
4/7 (2011),12 PM,153
4/7 (2011),1 PM,135
4/7 (2011),2 PM,157
4/7 (2011),3 PM,160
4/7 (2011),4 PM,213
4/7 (2011),5 PM,343
4/7 (2011),6 PM,333
4/7 (2011),7 PM,226
4/7 (2011),8 PM,203
4/7 (2011),9 PM,108
4/7 (2011),10 PM,81
4/7 (2011),11 PM,54
4/8 (2011),12 AM,25
4/8 (2011),1 AM,9
4/8 (2011),2 AM,13
4/8 (2011),3 AM,1
4/8 (2011),4 AM,1
4/8 (2011),5 AM,9
4/8 (2011),6 AM,35
4/8 (2011),7 AM,113
4/8 (2011),8 AM,221
4/8 (2011),9 AM,185
4/8 (2011),10 AM,73
4/8 (2011),11 AM,98
4/8 (2011),12 PM,80
4/8 (2011),1 PM,42
4/8 (2011),2 PM,15
4/8 (2011),3 PM,25
4/8 (2011),4 PM,60
4/8 (2011),5 PM,148
4/8 (2011),6 PM,62
4/8 (2011),7 PM,53
4/8 (2011),8 PM,63
4/8 (2011),9 PM,54
4/8 (2011),10 PM,51
4/8 (2011),11 PM,35
4/9 (2011),12 AM,31
4/9 (2011),1 AM,20
4/9 (2011),2 AM,17
4/9 (2011),3 AM,14
4/9 (2011),4 AM,3
4/9 (2011),5 AM,5
4/9 (2011),6 AM,13
4/9 (2011),7 AM,21
4/9 (2011),8 AM,54
4/9 (2011),9 AM,98
